Comment,label,databersih,Tokenized,Remove stopwords,stemming,label_angka
"cuman tasyakuran kehamilan istri aja ngundang presiden, hebat lu bang🔥👏",bukan ujaran kebencian,hanya tasyakuran kehamilan istri saja mengundang presiden hebat kamu bang,"['hanya', 'tasyakuran', 'kehamilan', 'istri', 'saja', 'mengundang', 'presiden', 'hebat', 'kamu', 'bang']",tasyakuran kehamilan istri mengundang presiden hebat bang,tasyakur hamil istri undang presiden hebat bang,1
emang boleh langsung jadi wakil gubernur??,bukan ujaran kebencian,memang boleh langsung jadi wakil gubernur,"['memang', 'boleh', 'langsung', 'jadi', 'wakil', 'gubernur']",langsung wakil gubernur,langsung wakil gubernur,1
ciyeee yg lg obrak abrik ma biar bisa maju ke pilkada 😜,ujaran kebencian,ciye yang lagi obrak abrik sama biar bisa maju ke pilihan kepala daerah,"['ciye', 'yang', 'lagi', 'obrak', 'abrik', 'sama', 'biar', 'bisa', 'maju', 'ke', 'pilihan', 'kepala', 'daerah']",ciye obrak abrik biar maju pilihan kepala daerah,ciye obrak abrik biar maju pilih kepala daerah,0
dinasti,ujaran kebencian,dinasti,['dinasti'],dinasti,dinasti,0
ndesoooooo😂 minta sama orang tuaa,ujaran kebencian,ndeso meminta sama orang tuaa,"['ndeso', 'meminta', 'sama', 'orang', 'tuaa']",ndeso orang tuaa,ndeso orang tuaa,0
dinasti jokowi 🔥🔥,ujaran kebencian,dinasti jokowi,"['dinasti', 'jokowi']",dinasti jokowi,dinasti jokowi,0
jilat lidah sendiri itu emang seger bos akhirnya minta jatah juga ama bapak hehe,ujaran kebencian,jilat lidah sendiri itu memang segar bos akhirnya meminta jatah juga sama bapak hehe,"['jilat', 'lidah', 'sendiri', 'itu', 'memang', 'segar', 'bos', 'akhirnya', 'meminta', 'jatah', 'juga', 'sama', 'bapak', 'hehe']",jilat lidah segar bos jatah hehe,jilat lidah segar bos jatah hehe,0
gimana rasanya langsung jadi ketum partai?,ujaran kebencian,bagaimana rasanya langsung jadi ketua umum partai,"['bagaimana', 'rasanya', 'langsung', 'jadi', 'ketua', 'umum', 'partai']",langsung ketua partai,langsung ketua partai,0
kren penjual pisang d datangi presiden,bukan ujaran kebencian,keren penjual pisang di datangi presiden,"['keren', 'penjual', 'pisang', 'di', 'datangi', 'presiden']",keren penjual pisang datangi presiden,keren jual pisang datang presiden,1
ilfeel.. bisa bisanya peraturan diubah ubah terus,ujaran kebencian,ilfeel bisa bisanya peraturan diubah ubah terus,"['ilfeel', 'bisa', 'bisanya', 'peraturan', 'diubah', 'ubah', 'terus']",ilfeel bisanya peraturan diubah ubah,ilfeel bisa atur ubah ubah,0
gak tau malu!,ujaran kebencian,tidak tau malu,"['tidak', 'tau', 'malu']",tau malu,tau malu,0
emng gk bisa nahan diri buat gk maju pilgub dlu?,ujaran kebencian,memang tidak bisa menahan diri buat tidak maju pilihan gubernur dlu,"['memang', 'tidak', 'bisa', 'menahan', 'diri', 'buat', 'tidak', 'maju', 'pilihan', 'gubernur', 'dlu']",menahan maju pilihan gubernur dlu,tahan maju pilih gubernur dlu,0
minimal punya rasa malu dan takut tuhan la kalian manusia @kaesangp @erinagudono 👎🏻👎🏻👎🏻👎🏻semudah itu aturan diubah2 lagi,ujaran kebencian,minimal punya rasa malu dan takut tuhan lah kalian manusia semudah itu aturan diubah lagi,"['minimal', 'punya', 'rasa', 'malu', 'dan', 'takut', 'tuhan', 'lah', 'kalian', 'manusia', 'semudah', 'itu', 'aturan', 'diubah', 'lagi']",minimal malu takut tuhan manusia semudah aturan diubah,minimal malu takut tuhan manusia mudah atur ubah,0
mas kalau nama indonesia diubah jadi jokonesia boleh gak?,bukan ujaran kebencian,kakak kalau nama indonesia diubah jadi jokonesia boleh gak,"['kakak', 'kalau', 'nama', 'indonesia', 'diubah', 'jadi', 'jokonesia', 'boleh', 'gak']",kakak nama indonesia diubah jokonesia gak,kakak nama indonesia ubah jokonesia gak,1
bang katanya gaji pejabat itu kecil,bukan ujaran kebencian,kakak katanya gaji pejabat itu kecil,"['kakak', 'katanya', 'gaji', 'pejabat', 'itu', 'kecil']",kakak gaji pejabat,kakak gaji jabat,1
ya ampun..ntar jan ethes calon gubernur jatim😂,bukan ujaran kebencian,ya ampun ntar jangan ethes calon gubernur jatim,"['ya', 'ampun', 'ntar', 'jangan', 'ethes', 'calon', 'gubernur', 'jatim']",ya ampun ntar ethes calon gubernur jatim,ya ampun ntar ethes calon gubernur jatim,1
"""emangnya masih zaman, minta proyek di pemerintahan sama orang tua? dasar ndeso"" -ucap wong ndeso",ujaran kebencian,emangnya masih zaman meminta proyek di pemerintahan sama orang tua dasar ndeso ucap orang kampungan,"['emangnya', 'masih', 'zaman', 'meminta', 'proyek', 'di', 'pemerintahan', 'sama', 'orang', 'tua', 'dasar', 'ndeso', 'ucap', 'orang', 'kampungan']",emangnya zaman proyek pemerintahan orang tua dasar ndeso orang kampungan,emang zaman proyek perintah orang tua dasar ndeso orang kampung,0
tombol yg rindu pak anies jdi gubenur jkt------>,bukan ujaran kebencian,tombol yang rindu bapak anies jadi gubernur jkt,"['tombol', 'yang', 'rindu', 'bapak', 'anies', 'jadi', 'gubernur', 'jkt']",tombol rindu anies gubernur jkt,tombol rindu anies gubernur jkt,1
"bu iriana, jan ethes, sedah mira pada mau nyalon juga ga mas? info biar peraturannya mulai di revisi dari sekarang. pokonya negara ini jadi milik pribadi keluarga kalian deh. atur aja sesuka udel klen kami nonton aja.",ujaran kebencian,ibu iriana jangan ethes sedah mira pada mau nyalon juga tidak mas info biar peraturannya mulai di revisi dari sekarang pokoknya negara ini jadi milik pribadi keluarga kalian deh atur saja sesuka udel kalian kami menonton aja,"['ibu', 'iriana', 'jangan', 'ethes', 'sedah', 'mira', 'pada', 'mau', 'nyalon', 'juga', 'tidak', 'mas', 'info', 'biar', 'peraturannya', 'mulai', 'di', 'revisi', 'dari', 'sekarang', 'pokoknya', 'negara', 'ini', 'jadi', 'milik', 'pribadi', 'keluarga', 'kalian', 'deh', 'atur', 'saja', 'sesuka', 'udel', 'kalian', 'kami', 'menonton', 'aja']",iriana ethes sedah mira nyalon mas info biar peraturannya revisi pokoknya negara milik pribadi keluarga deh atur sesuka udel menonton aja,iriana ethes dah mira nyalon mas info biar atur revisi pokok negara milik pribadi keluarga deh atur suka udel tonton aja,0
"mas, ga inget apa perkataannya di youtube sendiri beberapa tahun lalu? mas nya ga malu ya minta ubah aturan? orang cuma minta proyek mas mengubah tatanan negara 🔥🔥🔥",ujaran kebencian,mas tidak ingat apa perkataannya di youtube sendiri beberapa tahun lalu kakak nya tidak malu ya meminta ubah aturan orang hanya meminta proyek kakak mengubah tatanan negara,"['mas', 'tidak', 'ingat', 'apa', 'perkataannya', 'di', 'youtube', 'sendiri', 'beberapa', 'tahun', 'lalu', 'kakak', 'nya', 'tidak', 'malu', 'ya', 'meminta', 'ubah', 'aturan', 'orang', 'hanya', 'meminta', 'proyek', 'kakak', 'mengubah', 'tatanan', 'negara']",mas perkataannya youtube kakak nya malu ya ubah aturan orang proyek kakak mengubah tatanan negara,mas kata youtube kakak nya malu ya ubah atur orang proyek kakak ubah tatanan negara,0
minimal tau diri,ujaran kebencian,minimal tau diri,"['minimal', 'tau', 'diri']",minimal tau,minimal tau,0
say no to nepotisme,ujaran kebencian,sayang no ke nepotisme,"['sayang', 'no', 'ke', 'nepotisme']",sayang no nepotisme,sayang no nepotisme,0
alhamdulillah dapet kerjaan dari bapak😂,ujaran kebencian,alhamdulilah dapat pekerjaan dari bapak,"['alhamdulilah', 'dapat', 'pekerjaan', 'dari', 'bapak']",alhamdulilah pekerjaan,alhamdulilah kerja,0
"kelga ga tau malu ,,misi visi aja dia ga ga paham gmna jdi gubenur 😂😂sklh lagi gih ,,",ujaran kebencian,kelga tidak tau malu misi visi saja dia tidak tidak paham bagaimana jadi gubernur sklh lagi gih,"['kelga', 'tidak', 'tau', 'malu', 'misi', 'visi', 'saja', 'dia', 'tidak', 'tidak', 'paham', 'bagaimana', 'jadi', 'gubernur', 'sklh', 'lagi', 'gih']",kelga tau malu misi visi paham gubernur sklh gih,kelga tau malu misi visi paham gubernur sklh gih,0
"eh udah dong komennya, cape aku ngelike satu satu",bukan ujaran kebencian,eh sudah dong komennya kesal aku menyukai satu satu,"['eh', 'sudah', 'dong', 'komennya', 'kesal', 'aku', 'menyukai', 'satu', 'satu']",eh komennya kesal menyukai,eh komennya kesal suka,1
ini nih yg ktanya mau jd gubernur cara curang??? minimal tau diri lah,ujaran kebencian,ini ini yang katanya mau jadi gubernur cara curang minimal tau diri lah,"['ini', 'ini', 'yang', 'katanya', 'mau', 'jadi', 'gubernur', 'cara', 'curang', 'minimal', 'tau', 'diri', 'lah']",gubernur curang minimal tau,gubernur curang minimal tau,0
no nepotisme !!!,bukan ujaran kebencian,no nepotisme,"['no', 'nepotisme']",no nepotisme,no nepotisme,1
mas kaesang pasti punya ordal nih bisa datengin presiden 😂🔥,bukan ujaran kebencian,kakak kaesang pasti punya ordal ini bisa datengin presiden,"['kakak', 'kaesang', 'pasti', 'punya', 'ordal', 'ini', 'bisa', 'datengin', 'presiden']",kakak kaesang ordal datengin presiden,kakak kaesang ordal datengin presiden,1
"mas, plis baca komen orang-orang 🙏🏼",bukan ujaran kebencian,mas tolong baca komen orang orang,"['mas', 'tolong', 'baca', 'komen', 'orang', 'orang']",mas tolong baca komen orang orang,mas tolong baca komen orang orang,1
mas nnt anaknya jd presiden ri ke berapa?,bukan ujaran kebencian,kakak nanti anaknya jadi presiden ri ke berapa,"['kakak', 'nanti', 'anaknya', 'jadi', 'presiden', 'ri', 'ke', 'berapa']",kakak anaknya presiden ri,kakak anak presiden ri,1
mas gimana caranya supaya bisa nyewa istana presiden buat acara tasyakuran?,bukan ujaran kebencian,kakak bagaimana caranya supaya bisa menyewa istana presiden buat acara tasyakuran,"['kakak', 'bagaimana', 'caranya', 'supaya', 'bisa', 'menyewa', 'istana', 'presiden', 'buat', 'acara', 'tasyakuran']",kakak menyewa istana presiden acara tasyakuran,kakak sewa istana presiden acara tasyakur,1
"q pendukung 2,tpi kalo kaesang tiba2 nyalon jadi gubernur jakarta rasanya sangat mengagetkan,dan kecewa bnget sama pak jokowi,😢kaesang blm pernah berpengalaman sama sekali tiba2 jadi wakil dan terjadi lgi mslh umur dipangkas lgi,😢ya allah knpa baru sadar q😢,tpi mau gmna kmrin milih 2 krn sya yakin pak prabowo akan jadi pemimpin yg baik,",bukan ujaran kebencian,aku pendukung tpi kalau kaesang tiba tiba nyalon jadi gubernur jakarta rasanya sangat mengagetkan dan kecewa sekali sama bapak jokowi kaesang belum pernah berpengalaman sama sekali tiba tiba jadi wakil dan terjadi lagi masalah umur dipangkas lgi ya allah kenapa baru sadar q tpi mau bagaimana kemarin memilih karena aku yakin bapak prabowo akan jadi pemimpin yang baik,"['aku', 'pendukung', 'tpi', 'kalau', 'kaesang', 'tiba', 'tiba', 'nyalon', 'jadi', 'gubernur', 'jakarta', 'rasanya', 'sangat', 'mengagetkan', 'dan', 'kecewa', 'sekali', 'sama', 'bapak', 'jokowi', 'kaesang', 'belum', 'pernah', 'berpengalaman', 'sama', 'sekali', 'tiba', 'tiba', 'jadi', 'wakil', 'dan', 'terjadi', 'lagi', 'masalah', 'umur', 'dipangkas', 'lgi', 'ya', 'allah', 'kenapa', 'baru', 'sadar', 'q', 'tpi', 'mau', 'bagaimana', 'kemarin', 'memilih', 'karena', 'aku', 'yakin', 'bapak', 'prabowo', 'akan', 'jadi', 'pemimpin', 'yang', 'baik']",pendukung tpi kaesang nyalon gubernur jakarta mengagetkan kecewa jokowi kaesang berpengalaman wakil umur dipangkas lgi ya allah sadar q tpi kemarin memilih prabowo pemimpin,dukung tpi kaesang nyalon gubernur jakarta kaget kecewa jokowi kaesang alam wakil umur pangkas lgi ya allah sadar q tpi kemarin pilih prabowo pimpin,1
"saya sebagai pendukung 02, lebih setuju mas kaesang di dunia entertaint atau bisnis saja dibanding masuk dunia politik 🥰☝🏻",bukan ujaran kebencian,aku sebagai pendukung lebih setuju kakak kaesang di dunia entertaint atau bisnis saja dibanding masuk dunia politik,"['aku', 'sebagai', 'pendukung', 'lebih', 'setuju', 'kakak', 'kaesang', 'di', 'dunia', 'entertaint', 'atau', 'bisnis', 'saja', 'dibanding', 'masuk', 'dunia', 'politik']",pendukung setuju kakak kaesang dunia entertaint bisnis dibanding masuk dunia politik,dukung tuju kakak kaesang dunia entertaint bisnis banding masuk dunia politik,1
indonesia kritis demokrasi 😢,bukan ujaran kebencian,indonesia kritis demokrasi,"['indonesia', 'kritis', 'demokrasi']",indonesia kritis demokrasi,indonesia kritis demokrasi,1
"tolong mas gibran, mas kaesang agar keluarga presiden sby, presiden jokowi dan presiden prabowo tetap kompak sampai kapanpun, please demi indonesia ke depannya 🙏🙏🙏",bukan ujaran kebencian,tolong kakak gibran kakak kaesang agar keluarga presiden sby presiden jokowi dan presiden prabowo tetap kompak sampai kapanpun tolong demi indonesia ke depannya,"['tolong', 'kakak', 'gibran', 'kakak', 'kaesang', 'agar', 'keluarga', 'presiden', 'sby', 'presiden', 'jokowi', 'dan', 'presiden', 'prabowo', 'tetap', 'kompak', 'sampai', 'kapanpun', 'tolong', 'demi', 'indonesia', 'ke', 'depannya']",tolong kakak gibran kakak kaesang keluarga presiden sby presiden jokowi presiden prabowo kompak tolong indonesia depannya,tolong kakak gibran kakak kaesang keluarga presiden sby presiden jokowi presiden prabowo kompak tolong indonesia depan,1
"ngundang presiden dan ibu negara, tapi ke dua orang tuanya malah gak diundang, parah bgt ini mah 😢",bukan ujaran kebencian,mengundang presiden dan ibu negara tapi ke dua orang tuanya malah tidak diundang parah sekali ini adalah,"['mengundang', 'presiden', 'dan', 'ibu', 'negara', 'tapi', 'ke', 'dua', 'orang', 'tuanya', 'malah', 'tidak', 'diundang', 'parah', 'sekali', 'ini', 'adalah']",mengundang presiden negara orang tuanya diundang parah,undang presiden negara orang tua undang parah,1
berkenan hadir??? elu yg hadir numpang selametan ditempat pak presiden heii bambang,ujaran kebencian,berkenan hadir kamu yang hadir menumpang selamatan ditempat bapak presiden hai bambang,"['berkenan', 'hadir', 'kamu', 'yang', 'hadir', 'menumpang', 'selamatan', 'ditempat', 'bapak', 'presiden', 'hai', 'bambang']",berkenan hadir hadir menumpang selamatan ditempat presiden hai bambang,kenan hadir hadir tumpang selamat tempat presiden hai bambang,0
tombol nyesel ☝🏻,ujaran kebencian,tombol menyesal,"['tombol', 'menyesal']",tombol menyesal,tombol sesal,0
ada paman,bukan ujaran kebencian,ada paman,"['ada', 'paman']",paman,paman,1
"siapa yg kesini gara2 video ""dasar ndeso"" #like",bukan ujaran kebencian,siapa yang kesini gara gara video dasar ndeso,"['siapa', 'yang', 'kesini', 'gara', 'gara', 'video', 'dasar', 'ndeso']",kesini gara gara video dasar ndeso,kesini gara gara video dasar ndeso,1
"aku ingat loh dulu mas kaesang pernah di wawancarai di tanya soal ketertarikan ke politik, jawabannya "" cukup bapak saja, saya fokus ke wirausaha"" dan sekarang........... ah sudahlah",bukan ujaran kebencian,aku ingat lah dulu kakak kaesang pernah di wawancarai di tanya soal ketertarikan ke politik jawabannya cukup bapak saja aku fokus ke wirausaha dan sekarang ah sudahlah,"['aku', 'ingat', 'lah', 'dulu', 'kakak', 'kaesang', 'pernah', 'di', 'wawancarai', 'di', 'tanya', 'soal', 'ketertarikan', 'ke', 'politik', 'jawabannya', 'cukup', 'bapak', 'saja', 'aku', 'fokus', 'ke', 'wirausaha', 'dan', 'sekarang', 'ah', 'sudahlah']",kakak kaesang wawancarai ketertarikan politik jawabannya fokus wirausaha ah,kakak kaesang wawancara tari politik jawab fokus wirausaha ah,1
"siramannya khidmat banget ya, sampe ada yang obok obok air",ujaran kebencian,siramannya khidmat sekali ya sampai ada yang obok obok air,"['siramannya', 'khidmat', 'sekali', 'ya', 'sampai', 'ada', 'yang', 'obok', 'obok', 'air']",siramannya khidmat ya obok obok air,siram khidmat ya obok obok air,0
akibat satu keluarga ini 😭,ujaran kebencian,akibat satu keluarga ini,"['akibat', 'satu', 'keluarga', 'ini']",akibat keluarga,akibat keluarga,0
masik kurang uang ?,ujaran kebencian,masik kurang uang,"['masik', 'kurang', 'uang']",masik uang,masik uang,0
"saat ini kami mungkin hanya kerikil kecil mba @erinagudono , tp kami bersumpah dengan izin allah kami akan bersaksi kelak di akhirat bagaimana keluarga ini memperlakukan rakyat indonesia.",ujaran kebencian,saat ini kami mungkin hanya kerikil kecil kakak tetapi kami bersumpah dengan izin allah kami akan bersaksi kelak di akhirat bagaimana keluarga ini memperlakukan rakyat indonesia,"['saat', 'ini', 'kami', 'mungkin', 'hanya', 'kerikil', 'kecil', 'kakak', 'tetapi', 'kami', 'bersumpah', 'dengan', 'izin', 'allah', 'kami', 'akan', 'bersaksi', 'kelak', 'di', 'akhirat', 'bagaimana', 'keluarga', 'ini', 'memperlakukan', 'rakyat', 'indonesia']",kerikil kakak bersumpah izin allah bersaksi kelak akhirat keluarga memperlakukan rakyat indonesia,kerikil kakak sumpah izin allah saksi kelak akhirat keluarga laku rakyat indonesia,0
bsok2 di akhirat ditanya malaikat. siapa tuhanmu? ya ndak tau kok tanya saya 😂,ujaran kebencian,bsok di akhirat ditanya malaikat siapa tuhanmu ya tidak tau kok tanya aku,"['bsok', 'di', 'akhirat', 'ditanya', 'malaikat', 'siapa', 'tuhanmu', 'ya', 'tidak', 'tau', 'kok', 'tanya', 'aku']",bsok akhirat malaikat tuhanmu ya tau,bsok akhirat malaikat tuhan ya tau,0
kira2 anaknya mau nyalon tahun berapa mb???,ujaran kebencian,kira kira anaknya mau nyalon tahun berapa mb,"['kira', 'kira', 'anaknya', 'mau', 'nyalon', 'tahun', 'berapa', 'mb']",anaknya nyalon mb,anak nyalon mb,0
naik pesawat nebeng teman tp temannya tdk ada....oon..memangnya kami rakyat jelajah bisa ditipu dng keluarga mulyono firaun😂😂😂. kami cerdas,ujaran kebencian,naik pesawat nebeng teman tetapi temannya tidak ada oon memangnya kami rakyat jelajah bisa ditipu dengan keluarga mulyono firaun kami cerdas,"['naik', 'pesawat', 'nebeng', 'teman', 'tetapi', 'temannya', 'tidak', 'ada', 'oon', 'memangnya', 'kami', 'rakyat', 'jelajah', 'bisa', 'ditipu', 'dengan', 'keluarga', 'mulyono', 'firaun', 'kami', 'cerdas']",pesawat nebeng teman temannya oon memangnya rakyat jelajah ditipu keluarga mulyono firaun cerdas,pesawat nebeng teman teman oon memang rakyat jelajah tipu keluarga mulyono firaun cerdas,0
1 keluarga muka tembok dan prilaku firaun semua😂😂😂😂,ujaran kebencian,keluarga muka tembok dan perilaku firaun semua,"['keluarga', 'muka', 'tembok', 'dan', 'perilaku', 'firaun', 'semua']",keluarga muka tembok perilaku firaun,keluarga muka tembok perilaku firaun,0
yakin pake uang pribadi bukan uang negara? 🥰,ujaran kebencian,yakin pakai uang pribadi bukan uang negara,"['yakin', 'pakai', 'uang', 'pribadi', 'bukan', 'uang', 'negara']",pakai uang pribadi uang negara,pakai uang pribadi uang negara,0
"enak ya tutup mata, sementara 1 indonesia menderita",ujaran kebencian,enak ya tutup mata sementara indonesia menderita,"['enak', 'ya', 'tutup', 'mata', 'sementara', 'indonesia', 'menderita']",enak ya tutup mata indonesia menderita,enak ya tutup mata indonesia derita,0
"jika engkau tak punya rasa malu, maka berbuatlah sesukamu
 (hr. bukhori)
#statussindiran
#garudabiru",bukan ujaran kebencian,jika engkau tidak punya rasa malu maka berbuatlah sesukamu hr bukhori,"['jika', 'engkau', 'tidak', 'punya', 'rasa', 'malu', 'maka', 'berbuatlah', 'sesukamu', 'hr', 'bukhori']",engkau malu berbuatlah sesukamu hr bukhori,engkau malu buat suka hr bukhori,1
betah banget di istana kayanya,ujaran kebencian,betah sekali di istana sepertinya,"['betah', 'sekali', 'di', 'istana', 'sepertinya']",betah istana,betah istana,0
miris ketika negri ini diperlihatkan begitu nyaman dan mewah kehidupan  pejabat sedangkan banyak rakyat yang masih kelaparan😭,ujaran kebencian,miris ketika negeri ini diperlihatkan begitu nyaman dan mewah kehidupan pejabat sedangkan banyak rakyat yang masih kelaparan,"['miris', 'ketika', 'negeri', 'ini', 'diperlihatkan', 'begitu', 'nyaman', 'dan', 'mewah', 'kehidupan', 'pejabat', 'sedangkan', 'banyak', 'rakyat', 'yang', 'masih', 'kelaparan']",miris negeri nyaman mewah kehidupan pejabat rakyat kelaparan,miris negeri nyaman mewah hidup jabat rakyat lapar,0
orang normal dan waras apalagi jawa harusnya sih takut ya klo lagi hamil ngelakuin macem,ujaran kebencian,orang normal dan waras apalagi jawa harusnya sih takut ya kalau lagi hamil melakukan macam,"['orang', 'normal', 'dan', 'waras', 'apalagi', 'jawa', 'harusnya', 'sih', 'takut', 'ya', 'kalau', 'lagi', 'hamil', 'melakukan', 'macam']",orang normal waras jawa sih takut ya hamil,orang normal waras jawa sih takut ya hamil,0
raja jawa,ujaran kebencian,raja jawa,"['raja', 'jawa']",raja jawa,raja jawa,0
kpk hadir,bukan ujaran kebencian,komisi pemberantasan korupsi hadir,"['komisi', 'pemberantasan', 'korupsi', 'hadir']",komisi pemberantasan korupsi hadir,komisi berantas korupsi hadir,1
pulang gak loh?????!,ujaran kebencian,pulang tidak loh,"['pulang', 'tidak', 'loh']",pulang loh,pulang loh,0
lama2 kebongkar juga semua,bukan ujaran kebencian,lama lama terbongkar juga semua,"['lama', 'lama', 'terbongkar', 'juga', 'semua']",terbongkar,bongkar,1
mosok sekelas kaesang wedi karo kpk,ujaran kebencian,masa sekelas kaesang wedi sama komisi pemberantasan korupsi,"['masa', 'sekelas', 'kaesang', 'wedi', 'sama', 'komisi', 'pemberantasan', 'korupsi']",sekelas kaesang wedi komisi pemberantasan korupsi,kelas kaesang wedi komisi berantas korupsi,0
"gak pernah komen, tapi sakit hati banget sama 1 keluarga ini",ujaran kebencian,tidak pernah komen tapi sakit hati sekali sama keluarga ini,"['tidak', 'pernah', 'komen', 'tapi', 'sakit', 'hati', 'sekali', 'sama', 'keluarga', 'ini']",komen sakit hati keluarga,komen sakit hati keluarga,0
"mas kaesang mba erina ,sabar ya kamu lagi diangkat drajatnya sama tuhan ❤️",bukan ujaran kebencian,kakak kaesang kakak erina sabar ya kamu lagi diangkat drajatnya sama tuhan,"['kakak', 'kaesang', 'kakak', 'erina', 'sabar', 'ya', 'kamu', 'lagi', 'diangkat', 'drajatnya', 'sama', 'tuhan']",kakak kaesang kakak erina sabar ya diangkat drajatnya tuhan,kakak kaesang kakak erina sabar ya angkat drajatnya tuhan,1
pulang donk..di cariin kpk sama rakyat indonesia tuh..minimal nongol lah,ujaran kebencian,pulang donk di carikan komisi pemberantasan korupsi sama rakyat indonesia tuh minimal muncul lah,"['pulang', 'donk', 'di', 'carikan', 'komisi', 'pemberantasan', 'korupsi', 'sama', 'rakyat', 'indonesia', 'tuh', 'minimal', 'muncul', 'lah']",pulang donk carikan komisi pemberantasan korupsi rakyat indonesia tuh minimal muncul,pulang donk cari komisi berantas korupsi rakyat indonesia tuh minimal muncul,0
"anjirlahhh komen² nyaaa, mana lg hamil lg duhhh yaa tapii gimanaa yaaa 1 keluarga bikin indonesia emosiiii 🥺",bukan ujaran kebencian,anjirlah komen nya mana lagi hamil lagi duh ya tetapi bagaimana ya keluarga bikin indonesia emosi,"['anjirlah', 'komen', 'nya', 'mana', 'lagi', 'hamil', 'lagi', 'duh', 'ya', 'tetapi', 'bagaimana', 'ya', 'keluarga', 'bikin', 'indonesia', 'emosi']",anjirlah komen nya hamil duh ya ya keluarga bikin indonesia emosi,anjir komen nya hamil duh ya ya keluarga bikin indonesia emosi,1
"kaesang di 2018 : ""emangnya msh zaman minta proyek sm orang tua yg ada di pemerintahan, dasar ndeso""....nyata nya ludah nya di jilat sendiri 😅😅😅",ujaran kebencian,kaesang di emangnya masih zaman meminta proyek sama orang tua yang ada di pemerintahan dasar ndeso nyata nya ludah nya di jilat sendiri,"['kaesang', 'di', 'emangnya', 'masih', 'zaman', 'meminta', 'proyek', 'sama', 'orang', 'tua', 'yang', 'ada', 'di', 'pemerintahan', 'dasar', 'ndeso', 'nyata', 'nya', 'ludah', 'nya', 'di', 'jilat', 'sendiri']",kaesang emangnya zaman proyek orang tua pemerintahan dasar ndeso nyata nya ludah nya jilat,kaesang emang zaman proyek orang tua perintah dasar ndeso nyata nya ludah nya jilat,0
"mba ganti sound plissss, jelek bgt lagunyaa apalagi yg nyanyiin😭😭😭",ujaran kebencian,kakak ganti sound plis jelek sekali lagunyaa apalagi yang nyanyiin,"['kakak', 'ganti', 'sound', 'plis', 'jelek', 'sekali', 'lagunyaa', 'apalagi', 'yang', 'nyanyiin']",kakak ganti sound plis jelek lagunyaa nyanyiin,kakak ganti sound plis jelek lagunyaa nyanyiin,0
"yg aku g habis fikir hny perkara roti harga 400rb saja jd di hujat, klw emank mampu beli why not? mau beli roti harga 1m hak smua org yg masih bernafas",bukan ujaran kebencian,yang aku tidak habis pikir hanya perkara roti harga rb saja jadi di hujat kalau memang mampu beli kenapa not mau beli roti harga m hak semua orang yang masih bernafas,"['yang', 'aku', 'tidak', 'habis', 'pikir', 'hanya', 'perkara', 'roti', 'harga', 'rb', 'saja', 'jadi', 'di', 'hujat', 'kalau', 'memang', 'mampu', 'beli', 'kenapa', 'not', 'mau', 'beli', 'roti', 'harga', 'm', 'hak', 'semua', 'orang', 'yang', 'masih', 'bernafas']",habis pikir perkara roti harga rb hujat beli not beli roti harga m hak orang bernafas,habis pikir perkara roti harga rb hujat beli not beli roti harga m hak orang nafas,1
tuker mas lagunya ke ayat alquran aja.  angkuh bgt yg punya lagu🔥,ujaran kebencian,tukar kakak lagunya ke ayat alquran aja angkuh sekali yang punya lagu,"['tukar', 'kakak', 'lagunya', 'ke', 'ayat', 'alquran', 'aja', 'angkuh', 'sekali', 'yang', 'punya', 'lagu']",tukar kakak lagunya ayat alquran aja angkuh lagu,tukar kakak lagu ayat alquran aja angkuh lagu,0
